topology,seed,generation,best_fitness,mean_fitness,diversity_total,diversity_between,diversity_within
none,2,18,0.718158,0.460497,0.270748,0.269148,0.152220
none,2,19,0.718158,0.543296,0.229121,0.221698,0.139349
none,2,20,0.718158,0.466378,0.222461,0.200409,0.150980
none,2,21,0.718158,0.498148,0.207777,0.177809,0.146761
none,2,22,0.718158,0.543432,0.198189,0.152564,0.153642
none,2,23,0.755581,0.480858,0.226979,0.192298,0.163949
none,2,24,0.755581,0.508682,0.217217,0.187863,0.152198
none,2,25,0.755581,0.517528,0.209663,0.199163,0.132275
none,2,26,0.755581,0.520656,0.214226,0.213822,0.119507
none,2,27,0.755581,0.580071,0.214573,0.208317,0.124449
none,2,28,0.755581,0.589264,0.213213,0.199087,0.132073
none,2,29,0.755581,0.569505,0.222753,0.197952,0.147624
none,3,0,0.601251,0.187237,0.314370,0.106148,0.315154
none,3,1,0.640017,0.278339,0.322907,0.185623,0.291185
none,3,2,0.640017,0.311147,0.356091,0.296273,0.255640
none,3,3,0.650198,0.362620,0.367635,0.339775,0.231191
none,3,4,0.650198,0.384524,0.345218,0.342796,0.188238
none,3,5,0.657299,0.400734,0.360557,0.368616,0.186948
none,3,6,0.657299,0.324916,0.378277,0.381873,0.204897
none,3,7,0.666410,0.385641,0.389983,0.421170,0.178442
none,3,8,0.666410,0.447632,0.391315,0.419532,0.181562
none,3,9,0.731109,0.400252,0.358020,0.378658,0.169570
none,3,10,0.731109,0.408490,0.387476,0.407088,0.189675
none,3,11,0.731109,0.454187,0.361202,0.410320,0.135579
none,3,12,0.731109,0.445760,0.369760,0.419580,0.139611
none,3,13,0.731109,0.466403,0.374926,0.426651,0.139278
none,3,14,0.731109,0.489307,0.383265,0.443025,0.128395
none,3,15,0.731109,0.426572,0.408572,0.464683,0.151770
none,3,16,0.731109,0.430922,0.382297,0.437163,0.135299
none,3,17,0.731109,0.438965,0.388670,0.429194,0.164287
none,3,18,0.732933,0.491907,0.389875,0.449389,0.134088
none,3,19,0.732933,0.484292,0.393572,0.454897,0.131626
none,3,20,0.732933,0.426744,0.390292,0.454250,0.127722
none,3,21,0.732933,0.455657,0.401959,0.462451,0.144072
none,3,22,0.732933,0.429821,0.425197,0.497185,0.130799
none,3,23,0.732933,0.456862,0.408260,0.469238,0.144599
none,3,24,0.732933,0.502998,0.405739,0.470787,0.135353
none,3,25,0.732933,0.497003,0.391590,0.458998,0.119248
none,3,26,0.732933,0.455554,0.416380,0.489191,0.126311
none,3,27,0.732933,0.431707,0.436982,0.514157,0.130437
none,3,28,0.732933,0.452652,0.427223,0.491550,0.151522
none,3,29,0.732933,0.456842,0.406259,0.468573,0.139007
none,4,0,0.385650,0.079271,0.326564,0.055140,0.342628
none,4,1,0.527736,0.192168,0.343069,0.237477,0.278033
none,4,2,0.541139,0.258488,0.314527,0.222153,0.240539
none,4,3,0.643732,0.347692,0.305298,0.235343,0.218531
none,4,4,0.664895,0.375521,0.352693,0.277119,0.253194
none,4,5,0.692376,0.403629,0.351607,0.362991,0.169300
none,4,6,0.692376,0.394499,0.336441,0.343453,0.170901
none,4,7,0.741337,0.481352,0.329927,0.355699,0.146630
none,4,8,0.741337,0.416757,0.361124,0.403393,0.141717
none,4,9,0.741337,0.510610,0.333177,0.371456,0.128333
none,4,10,0.741337,0.523616,0.351632,0.396770,0.131284
none,4,11,0.741337,0.515647,0.339269,0.372094,0.143085
none,4,12,0.741337,0.535252,0.321025,0.366071,0.109866
none,4,13,0.741337,0.473025,0.332471,0.366563,0.134891
none,4,14,0.741337,0.482896,0.341927,0.366233,0.153296
none,4,15,0.741337,0.472466,0.330372,0.363696,0.133143
none,4,16,0.741337,0.521560,0.338526,0.376259,0.132402
none,4,17,0.741337,0.524461,0.352053,0.377768,0.161298
none,4,18,0.741337,0.548588,0.333357,0.370572,0.130727
none,4,19,0.741337,0.513631,0.347790,0.397612,0.122370
none,4,20,0.741337,0.540917,0.319619,0.362875,0.114090
none,4,21,0.741337,0.515016,0.339548,0.375107,0.138036
none,4,22,0.741337,0.505403,0.338993,0.367549,0.148641
